date,ticker,action,price,size,reason,pnl_pct
2025-05-28,ASIANPAINT.NS,SELL,2306.3216161933556,-2,Death Cross,-4.016482112952764
2025-06-02,ASIANPAINT.NS,BUY,2238.4476508603957,2,RHS Breakout (Neckline: ₹2293.74),
2025-06-03,LT.NS,SELL,3655.0,-1,RSI Overbought,1.2929053674587807
2025-06-11,COFORGE.NS,BUY,1830.8045038401244,2,RHS Breakout (Neckline: ₹1566.01),
2025-06-12,LALPATHLAB.NS,SELL,2974.4026795328236,-1,RSI Overbought,6.250312223315634
2025-06-12,COFORGE.NS,SELL,1817.3353251304636,-2,RSI Overbought,-0.7356972675896918
2025-06-13,LT.NS,BUY,3501.199951171875,1,RHS Breakout (Neckline: ₹3276.69),
2025-06-13,TITAN.NS,BUY,3399.469466137835,1,RHS Breakout (Neckline: ₹3536.71),
2025-06-13,LALPATHLAB.NS,BUY,2955.438361475279,1,CWH Breakout (Handle: ₹2768.65),
2025-06-19,DELHIVERY.NS,BUY,365.79998779296875,13,CWH Breakout (Handle: ₹312.50),
2025-06-26,DELHIVERY.NS,SELL,391.75,-13,RSI Overbought,7.094044033079121
2025-06-27,TCS.NS,SELL,3443.3145602623845,-1,Death Cross,-3.0103927521058527
2025-06-27,COFORGE.NS,BUY,1891.664984823309,2,RHS Breakout (Neckline: ₹1566.01),
2025-06-30,RELIANCE.NS,SELL,1507.7781788170053,-3,RSI Overbought,4.170117468271739
2025-06-30,HDFCBANK.NS,SELL,1003.2533964547343,-5,RSI Overbought,2.765608732569164
2025-06-30,COFORGE.NS,SELL,1911.619287781729,-2,RSI Overbought,1.0548539576781346
2025-07-01,MPHASIS.NS,SELL,2789.6576513646273,-2,RSI Overbought,16.614755266617077
2025-07-03,ASIANPAINT.NS,SELL,2428.89990234375,-2,RSI Overbought,8.508228968863751
2025-07-03,DELHIVERY.NS,BUY,386.3999938964844,12,CWH Breakout (Handle: ₹312.50),
2025-07-03,MPHASIS.NS,BUY,2843.0900579490917,1,RHS Breakout (Neckline: ₹2521.56),
2025-07-04,MPHASIS.NS,SELL,2845.6392193945276,-1,RSI Overbought,0.08966164959525534
2025-07-08,DELHIVERY.NS,SELL,398.0,-12,RSI Overbought,3.0020720203798033
